,agent,avg_reward,std_reward,step,test_id
612,iql,28.0,0.0,15328,-1
613,iql,52.0,0.0,15380,-1
614,iql,21.0,0.0,15401,-1
615,iql,13.0,0.0,15414,-1
616,iql,25.0,0.0,15439,-1
617,iql,29.0,0.0,15468,-1
618,iql,40.0,0.0,15508,-1
619,iql,21.0,0.0,15529,-1
620,iql,52.0,0.0,15581,-1
621,iql,25.0,0.0,15606,-1
622,iql,14.0,0.0,15620,-1
623,iql,10.0,0.0,15630,-1
624,iql,15.0,0.0,15645,-1
625,iql,21.0,0.0,15666,-1
626,iql,38.0,0.0,15704,-1
627,iql,26.0,0.0,15730,-1
628,iql,20.0,0.0,15750,-1
629,iql,20.0,0.0,15770,-1
630,iql,32.0,0.0,15802,-1
631,iql,26.0,0.0,15828,-1
632,iql,25.0,0.0,15853,-1
633,iql,25.0,0.0,15878,-1
634,iql,20.0,0.0,15898,-1
635,iql,28.0,0.0,15926,-1
636,iql,53.0,0.0,15979,-1
637,iql,24.0,0.0,16003,-1
638,iql,39.0,0.0,16042,-1
639,iql,21.0,0.0,16063,-1
640,iql,32.5,31.5,16128,-1
641,iql,16.0,0.0,16144,-1
642,iql,14.0,0.0,16158,-1
643,iql,20.0,0.0,16178,-1
644,iql,24.0,0.0,16202,-1
645,iql,14.0,0.0,16216,-1
646,iql,18.0,0.0,16234,-1
647,iql,30.0,0.0,16264,-1
648,iql,11.0,0.0,16275,-1
649,iql,28.0,0.0,16303,-1
650,iql,15.0,0.0,16318,-1
651,iql,32.0,0.0,16350,-1
652,iql,16.0,0.0,16366,-1
653,iql,13.0,0.0,16379,-1
654,iql,11.0,0.0,16390,-1
655,iql,14.0,0.0,16404,-1
656,iql,18.0,0.0,16422,-1
657,iql,21.0,0.0,16443,-1
658,iql,30.0,0.0,16473,-1
659,iql,51.0,0.0,16524,-1
660,iql,21.0,0.0,16545,-1
661,iql,21.0,0.0,16566,-1
662,iql,51.0,0.0,16617,-1
663,iql,16.0,0.0,16633,-1
664,iql,13.0,0.0,16646,-1
665,iql,44.0,0.0,16690,-1
666,iql,12.0,0.0,16702,-1
667,iql,23.0,0.0,16725,-1
668,iql,43.0,0.0,16768,-1
669,iql,10.0,0.0,16778,-1
670,iql,35.0,0.0,16813,-1
671,iql,15.0,0.0,16828,-1
672,iql,11.0,0.0,16839,-1
673,iql,17.0,0.0,16856,-1
674,iql,12.0,0.0,16868,-1
675,iql,22.0,0.0,16890,-1
676,iql,12.0,0.0,16902,-1
677,iql,22.0,0.0,16924,-1
678,iql,45.0,0.0,16969,-1
679,iql,19.0,0.0,16988,-1
680,iql,24.0,0.0,17012,-1
681,iql,17.0,0.0,17029,-1
682,iql,17.0,0.0,17046,-1
683,iql,26.0,0.0,17072,-1
684,iql,15.0,0.0,17087,-1
685,iql,10.0,0.0,17097,-1
686,iql,23.0,0.0,17120,-1
687,iql,27.0,0.0,17147,-1
688,iql,33.0,0.0,17180,-1
689,iql,25.0,0.0,17205,-1
690,iql,13.0,0.0,17218,-1
691,iql,24.0,0.0,17242,-1
692,iql,55.0,0.0,17297,-1
693,iql,30.0,0.0,17327,-1
694,iql,10.0,0.0,17337,-1
695,iql,23.0,0.0,17360,-1
696,iql,48.0,0.0,17408,-1
697,iql,30.0,0.0,17438,-1
698,iql,17.0,0.0,17455,-1
699,iql,18.0,0.0,17473,-1
700,iql,29.0,0.0,17502,-1
701,iql,18.0,0.0,17520,-1
702,iql,37.0,0.0,17557,-1
703,iql,15.0,0.0,17572,-1
704,iql,29.0,0.0,17601,-1
705,iql,19.0,0.0,17620,-1
706,iql,25.0,0.0,17645,-1
707,iql,18.0,0.0,17663,-1
708,iql,22.0,0.0,17685,-1
709,iql,23.0,0.0,17708,-1
710,iql,10.0,0.0,17718,-1
711,iql,63.0,0.0,17781,-1
712,iql,29.0,0.0,17810,-1
713,iql,38.0,26.0,17886,-1
714,iql,30.0,0.0,17916,-1
715,iql,16.0,0.0,17932,-1
716,iql,12.0,0.0,17944,-1
717,iql,34.0,0.0,17978,-1
718,iql,14.0,0.0,17992,-1
719,iql,14.0,0.0,18006,-1
720,iql,63.0,0.0,18069,-1
721,iql,11.0,0.0,18080,-1
722,iql,29.0,0.0,18109,-1
723,iql,13.0,0.0,18122,-1
724,iql,15.0,0.0,18137,-1
725,iql,16.0,0.0,18153,-1
726,iql,25.0,0.0,18178,-1
727,iql,25.0,0.0,18203,-1
728,iql,62.0,0.0,18265,-1
729,iql,29.0,0.0,18294,-1
730,iql,35.0,0.0,18329,-1
731,iql,21.0,0.0,18350,-1
732,iql,46.0,0.0,18396,-1
733,iql,45.0,0.0,18441,-1
